citing_publisher,citing_year,cited_name,cited_total,bipoc
CCC,2013,Gail E. Hawisher,5,Asian American
CCC,2013,Geneva Smitherman,5,Asian American
CCC,2013,Gina M. Merys,5,Asian American
CCC,2013,Glenn Blalock,5,Asian American
CCC,2013,Irene Clark,5,Asian American
CCC,2013,James Martin,5,White
CCC,2013,James Moffett,5,Asian American
CCC,2013,Janice Walker,5,White
CCC,2013,Jeff Sommers,5,Latinx
CCC,2013,Jianglin Zhou,5,White
CCC,2013,Joan Mullin,5,Latinx
CCC,2013,John Flowerdew,5,White
CCC,2013,"Johns,AnnM. nan",5,Asian American
CCC,2013,Joyce Kinkead,5,White
CCC,2013,Joyce R. Walker,5,White
CCC,2013,Kathleen BlakeYancey,5,Asian American
CCC,2013,KeithDorwick,5,White
CCC,2013,Ken Hyland,5,White
CCC,2013,Lawrence Anthony,5,Asian American
CCC,2013,Malcolm Gladwell,5,White
CCC,2013,Mary Ann Cohen,5,Latinx
CCC,2013,Mary Jo Reiff,5,Latinx
CCC,2013,Mary Soliday,5,White
CCC,2013,Maurizio Gotti,5,Latinx
CCC,2013,Michael Halliday,5,White
CCC,2013,Michael Kane,5,Asian American
CCC,2013,Nicholas Mauriello,5,White
CCC,2013,Paul LeBlanc,5,White
CCC,2013,Rachel Goldberg Anis Bawarshi,5,Latinx
CCC,2013,Samuel Messick,5,Asian American
CCC,2013,Shane Borrowman,5,Latinx
CCC,2013,Shirley Brice Heath,5,Asian American
CCC,2013,Sunny Hyon,5,Asian American
CCC,2013,Susan MacDonald,5,Latinx
CCC,2013,Terry M. Zawacki,5,Latinx
CCC,2013,Vijay Bhatia,5,Latinx
CCC,2013,Writing Project,5,Latinx
CCC,2013,Howard Tinberg,4,Latinx
CCC,2013,Jeanne Gunner,4,Latinx
CCC,2013,Jeff Seaman,4,White
CCC,2013,K.J. Rawson,4,Asian American
CCC,2013,Kathleen Blake Yancey,4,Asian American
CCC,2013,Marjorie Roemer,4,Latinx
CCC,2013,Anselm Strauss,3,Latinx
CCC,2013,Becky Glass,3,Asian American
CCC,2013,Carla B. Howery,3,Latinx
CCC,2013,Daniel Rothbart,3,Asian American
CCC,2013,David Brooks,3,Latinx
CCC,2013,Deborah Holdstein,3,Latinx
CCC,2013,Edgar H. Schein,3,White
CCC,2013,Edward L. Kain,3,Asian American
CCC,2013,Edward M. White,3,Asian American
CCC,2013,Elizabeth Wardle,3,Latinx
CCC,2013,Fathali M. Moghaddam,3,Asian American
CCC,2013,Florence Brawer,3,Asian American
CCC,2013,Gerry Winter,3,Asian American
CCC,2013,Jeffrey Sommers,3,Asian American
CCC,2013,Jeffrey Young,3,Asian American
CCC,2013,Joseph M. Moxley,3,White
CCC,2013,Josipa Roksa,3,Asian American
CCC,2013,Judith M. Gappa,3,White
CCC,2013,Laura Kramer,3,Asian American
CCC,2013,Linda Adler-Kassner,3,Latinx
CCC,2013,Mark Reynolds,3,Latinx
CCC,2013,Maxine Atkinson,3,White
CCC,2013,Nandini Assar,3,Asian American
CCC,2013,Peter Burke,3,White
CCC,2013,Rom Harré,3,White
CCC,2013,Roxanne M. Cullen,3,Asian American
CCC,2013,Steven R. Sabat,3,Latinx
CCC,2013,Sylvia Holladay-Hicks,3,White
CCC,2013,Tracey Pilkerton Cairnie,3,Latinx
CCC,2013,eds.,3,White
CCC,2013,Alan Liu,2,Latinx
CCC,2013,Alexis Ramsey,2,Latinx
CCC,2013,Andrew Ortony,2,Asian American
CCC,2013,Barbara L’Eplattenier,2,White
CCC,2013,Beth Nowviskie,2,Asian American
CCC,2013,Bo Wang,2,White
CCC,2013,BrianHuot,2,Asian American
CCC,2013,Carl Whithaus,2,Asian American
CCC,2013,Carole Clark Papper,2,Latinx
CCC,2013,Caryl Emerson,2,Asian American
CCC,2013,Charlotte Hogg,2,White
CCC,2013,Cheryl Ball,2,Asian American
CCC,2013,Cheryl Glenn,2,Asian American
CCC,2013,Chi-Wen Kao,2,White
CCC,2013,Christianne Corbett andAndresse St. Rose,2,White
CCC,2013,Cindy Griffin,2,White
CCC,2013,Cindy Moore,2,Asian American
CCC,2013,Clancy Ratliff,2,Latinx
CCC,2013,Clay Spinuzzi,2,Latinx
CCC,2013,Craig Baehr,2,Latinx
CCC,2013,Cristina Ramirez,2,Latinx
CCC,2013,David Nielson,2,White
CCC,2013,Davis Jenkins,2,Latinx
CCC,2013,Deborah Minter,2,Asian American
CCC,2013,Donald A. Daiker,2,Asian American
CCC,2013,Doug Brent,2,Asian American
CCC,2013,Eileen Schell,2,White
CCC,2013,Elaine Richardson,2,Latinx
CCC,2013,Ellen Cushman,2,Asian American
CCC,2013,Eric Hand,2,White
CCC,2013,Frances B. Holt-Underwood,2,Asian American
CCC,2013,Franco Moretti,2,White
CCC,2013,Gail Stygall,2,Latinx
CCC,2013,Gesa E. Kirsch,2,Latinx
CCC,2013,Greg Dimitriadis,2,White
CCC,2013,Gwendolyn Pough,2,Latinx
CCC,2013,Jacqueline Jones Royster,2,Latinx
CCC,2013,James Porter,2,Latinx
CCC,2013,Janine Solberg,2,Latinx
CCC,2013,Jean-Baptiste Michel,2,White
CCC,2013,Jean-Paul Nadeau,2,Asian American
CCC,2013,Jessica Enoch,2,Latinx
CCC,2013,Joanne Giordano,2,Latinx
CCC,2013,Kathleen Ryan,2,Asian American
CCC,2013,LaurelThatcher Ulrich,2,White
CCC,2013,Lisa Gerrard,2,Asian American
CCC,2013,Liz Rohan,2,Latinx
CCC,2013,Lucille Schultz,2,Latinx
CCC,2013,Matthew Gold,2,Asian American
CCC,2013,Matthew Kirschenbaum,2,Latinx
CCC,2013,Matthew Wilkens,2,Latinx
CCC,2013,Maureen Goggin,2,Latinx
CCC,2013,Michael Gavin,2,Latinx
CCC,2013,Michael Ranney,2,White
CCC,2013,Miriam Posner,2,Latinx
CCC,2013,Pamela Takayoshi,2,Latinx
CCC,2013,Patricia Bizzell,2,Asian American
CCC,2013,Patricia Cohen,2,White
CCC,2013,Patrik Svensson,2,Latinx
CCC,2013,Paul Jaegar,2,White
CCC,2013,Rebecca J. Rickly,2,White
CCC,2013,Rebekah Colby,2,White
CCC,2013,Rekha Chopra,2,Latinx
CCC,2013,Rita Malenczyk,2,White
CCC,2013,Rory Ong,2,Latinx
CCC,2013,RosalynCollings Eves,2,Asian American
CCC,2013,Roy Rosenzweig,2,White
CCC,2013,Russel K. Durst,2,Latinx
CCC,2013,Shanna Smith Jaggars,2,White
CCC,2013,Sheridan Blau,2,White
CCC,2013,Staci Perryman-Clark,2,Latinx
CCC,2013,Stephen Robertson,2,Latinx
CCC,2013,Tara McPherson,2,Latinx
CCC,2013,Tarez Samra Graban,2,White
CCC,2013,Terry Moe,2,Latinx
CCC,2013,Thomas Bailey,2,White
CCC,2013,Timothy Leinbach,2,Asian American
CCC,2013,Tracey E Smith,2,Asian American
CCC,2013,Trevor Owens,2,Latinx
CCC,2013,Wendy Sharer,2,White
CCC,2013,William Thomas,2,Latinx
CCC,2013,William Turkel,2,Latinx
CCC,2013,andOctavia Haure,2,Latinx
CCC,2013,with Doug Lederman Scott Jaschik,2,Asian American
CCC,2013,A. Suresh Canagarajah,1,White
CCC,2013,A.M.E. Church,1,Latinx
CCC,2013,Adrian J. Wurr,1,Asian American
CCC,2013,Alexander Hertel-Fernandez,1,White
CCC,2013,Alice Horning,1,Latinx
CCC,2013,AliceM. Gillam,1,Asian American
CCC,2013,Allan Wigfield,1,Asian American
CCC,2013,Allison Harl,1,Asian American
CCC,2013,Ann Brown,1,White
CCC,2013,Ann L. Brown,1,Latinx
CCC,2013,Anne-Marie Hall,1,White
CCC,2013,Aristotle,1,Asian American
CCC,2013,Arnetha Ball,1,Latinx
CCC,2013,Ask Rita HR. Blue Avocado,1,Latinx
CCC,2013,Barbara Roswell,1,Latinx
CCC,2013,Bena Kallick,1,White
CCC,2013,Bennis Blue,1,Latinx
CCC,2013,Beth Matway,1,Latinx
CCC,2013,Beth McGregor,1,Latinx
CCC,2013,Brenda Jo Brueggemann,1,Latinx
CCC,2013,Candace Spigelman,1,Latinx
CCC,2013,Carl F. Siebert,1,Asian American
CCC,2013,Carol Muller,1,White
CCC,2013,Carol Severino,1,Asian American
CCC,2013,Carol Wickersham,1,Latinx
CCC,2013,Carolyn Calhoon-Dillahunt,1,Asian American
CCC,2013,Carolyn Calloway Thomas,1,Latinx
CCC,2013,Cathy Fleischer,1,White
CCC,2013,Christian R. Weisser,1,White
CCC,2013,Christiane Donahue,1,White
CCC,2013,Christopher Weaver,1,White
CCC,2013,CommonCoreStateStandardsInitiative nan,1,Latinx
CCC,2013,ConferenceonCollegeCompositionandCommunication nan,1,Asian American
CCC,2013,"CouncilofWritingProgramAdministrators,NationalCouncilofTeachersofEnglish,andNationalWritingProject nan",1,White
CCC,2013,Courtney Hsing,1,White
CCC,2013,DanaLynn Driscoll,1,White
CCC,2013,Daniel K. Anderson,1,White
CCC,2013,Darryl Tippens,1,Latinx
CCC,2013,David Foster,1,Asian American
CCC,2013,David Holmes,1,White
CCC,2013,David Kolb,1,White
CCC,2013,David R. Russell,1,Asian American
CCC,2013,Deborah Brandt,1,Asian American
CCC,2013,Debrah Huffman,1,White
CCC,2013,Deneen Shepherd,1,Asian American
CCC,2013,Dennis Wentz,1,Latinx
CCC,2013,DianeDeVido Tetreault,1,White
CCC,2013,Donald Schön,1,White
CCC,2013,Douglas Downs,1,Asian American
CCC,2013,E. Caroline Wylie,1,Asian American
CCC,2013,Eddie Good,1,White
CCC,2013,Edna Lardizaball Hussey,1,Latinx
CCC,2013,Edward H. O’Brien,1,Asian American
CCC,2013,Elaine B. Richardson,1,White
CCC,2013,Ellen Carillo,1,Asian American
CCC,2013,Elliot Gerson,1,Latinx
CCC,2013,"Elwood F. Holton, III",1,White
CCC,2013,Ernest Boyle,1,Latinx
CCC,2013,Etienne Wenger,1,Latinx
CCC,2013,Gary Lindberg,1,Latinx
CCC,2013,Gavriel Salomon,1,Asian American
CCC,2013,George Kennedy,1,Asian American
CCC,2013,Gerard Hauser,1,White
CCC,2013,Gregory Ulmer,1,Asian American
CCC,2013,Heather C. Easterling,1,White
CCC,2013,Heidi Estrem,1,White
CCC,2013,James Berlin,1,White
CCC,2013,James Gee,1,White
CCC,2013,Janet Zepernick,1,White
CCC,2013,Janice Lauer,1,Latinx
CCC,2013,Jay Lemke,1,Latinx
CCC,2013,Jeanne Henry,1,White
CCC,2013,Jeffrey T. Grabill,1,Latinx
CCC,2013,Jennifer ClaryLemon,1,White
CCC,2013,Jessie Moore,1,White
CCC,2013,Jill Fitzgerald,1,Asian American
CCC,2013,Joanne Lobato,1,Latinx
CCC,2013,John Dewey,1,Asian American
CCC,2013,John Hayes,1,Latinx
CCC,2013,Kara Taczak,1,White
CCC,2013,Katherine V. Willis,1,White
CCC,2013,Kathleen Blake Yancy,1,Asian American
CCC,2013,Kathleen McCormick,1,White
CCC,2013,Keith Gilyard,1,Latinx
CCC,2013,Keith J. Holyoak,1,Asian American
CCC,2013,Keith Rhodes,1,White
CCC,2013,Kevin Roozen,1,Latinx
CCC,2013,Kirk St.Amant,1,Asian American
CCC,2013,Krista Ratcliffe,1,Asian American
CCC,2013,Kristine Hansen,1,Latinx
CCC,2013,Leah Zuidema,1,White
CCC,2013,Letter to the Honorable Hilda L. Solis,1,White
CCC,2013,Lisa M. Baumgartner,1,Latinx
CCC,2013,Louise Rosenblatt,1,Latinx
CCC,2013,Louise Wetherbee Phelps,1,Latinx
CCC,2013,Maggie McGrath,1,White
CCC,2013,Marcea K. Seible,1,Latinx
CCC,2013,Marcia Curtis,1,White
CCC,2013,Marguerite Helmers,1,Latinx
CCC,2013,Mariolina Salvatori,1,White
CCC,2013,Mark Otuteye,1,White
CCC,2013,Martin Nystrand,1,White
CCC,2013,Mary Taylor Huber,1,White
CCC,2013,Michael Bunn,1,Asian American
CCC,2013,Michael Michaud,1,White
CCC,2013,Michael Roth,1,White
CCC,2013,Mike Rose,1,White
CCC,2013,Mikhail Bakhtin,1,Latinx
CCC,2013,Min-Zhan Lu,1,Latinx
CCC,2013,Monica Sitt-Bergh,1,Asian American
CCC,2013,Nancy Morrow,1,Latinx
CCC,2013,Natalie Sabadish,1,Asian American
CCC,2013,Nicholas Finio,1,White
CCC,2013,Nicola J. Marley,1,Latinx
CCC,2013,Norman Unrau,1,Latinx
CCC,2013,P. Karen Murphy,1,Latinx
CCC,2013,Patricia Ericsson,1,White
CCC,2013,Patricia Harkin,1,White
CCC,2013,Paul Butler,1,Asian American
CCC,2013,Paul J. Feltovich,1,Latinx
CCC,2013,Paul R. Meyer,1,Latinx
CCC,2013,Peggy O'Neill,1,Asian American
CCC,2013,Peter Smagorinsky,1,White
CCC,2013,Peter Vandenberg,1,Asian American
CCC,2013,Pierre Bourdieu,1,Asian American
CCC,2013,Qin Zhang,1,White
CCC,2013,Rachel Golberg,1,Asian American
CCC,2013,Randall Popken,1,White
CCC,2013,Raymie E. McKerrow,1,Latinx
CCC,2013,Rebecca Cox,1,White
CCC,2013,Rebecca Nowacek,1,White
CCC,2013,Richard A. Swanson,1,Latinx
CCC,2013,Richard Grusin,1,White
CCC,2013,Richard Haswell,1,White
CCC,2013,Richard L. Coulson,1,White
CCC,2013,Richard Langham,1,Asian American
CCC,2013,Richard Light,1,Latinx
CCC,2013,Richard Miller,1,Asian American
CCC,2013,Richard Rodriguez,1,Latinx
CCC,2013,Rodney R. Cocking,1,Asian American
CCC,2013,Ronda Leathers Dively,1,Asian American
CCC,2013,Rosemary S. Caffarealla,1,Asian American
CCC,2013,Ruth Overman Fischer,1,White
CCC,2013,Satya Mohanty,1,Asian American
CCC,2013,Scott Miller,1,Asian American
CCC,2013,Sharon Crowley,1,Asian American
CCC,2013,Signithia Fordham,1,Latinx
CCC,2013,Siva Vaidhyanathan,1,Latinx
CCC,2013,Steve Fox,1,Latinx
CCC,2013,Sue Hum,1,White
CCC,2013,Susan H. McLeod,1,Asian American
CCC,2013,Susan Searls Giroux,1,Asian American
CCC,2013,Susanmarie Harrington,1,White
CCC,2013,Tamsin Haggis,1,Latinx
CCC,2013,Ted Lardner,1,White
CCC,2013,Teresa Redd,1,Latinx
CCC,2013,Theresa Castaldi,1,White
CCC,2013,Theresa Lillis,1,Latinx
CCC,2013,Thomas C. Ormerod,1,Latinx
CCC,2013,UnitedStates.NationalCommissiononExcellenceinEducation nan,1,White
CCC,2013,UnitedStatesDeptofLabor.WageandHourDivision nan,1,Asian American
CCC,2013,Valerie Kinloch,1,Asian American
CCC,2013,Vershawn Young,1,Latinx
CCC,2013,Victoria Stein,1,Asian American
CCC,2013,andAnthony Ciccone,1,Latinx
CCC,2013,nan CCCCCommitteeonAssessment,1,Asian American
CCC,2013,nan Quintilian,1,Latinx
CCC,2014,eds.,18,White
CCC,2014,eds,9,White
CCC,2014,Anna Sophia Habib,6,Latinx
CCC,2014,Kathleen Blake Yancey,5,Latinx
CCC,2014,Alex Rudniy,4,Asian American
CCC,2014,"AmericanEducationalResearchAssociation,AmericanPsychologicalAssociation,andNationalCouncilonMeasurementinEducation nan",4,White
CCC,2014,Anne-Marie Hall,4,Asian American
CCC,2014,Barbara A. Lee,4,White
CCC,2014,"CaliforniaStateUniversity,LongBeach nan",4,White
CCC,2014,Cathy Fleischer,4,Latinx
CCC,2014,Christiane Donahue,4,Asian American
CCC,2014,Dept Housing&UrbanDevelopment,4,White
CCC,2014,Elizabeth Vander Lei,4,White
CCC,2014,Gail H. Ironson,4,Asian American
CCC,2014,Jacqueline Jones Royster,4,Asian American
CCC,2014,Janis Tedesco Haswell,4,Latinx
CCC,2014,Jay Rosner,4,Asian American
CCC,2014,Jennifer L. Kobrin,4,White
CCC,2014,John Trimbur,4,Asian American
CCC,2014,Judith Pollack,4,Asian American
CCC,2014,Kamal Joshi,4,Asian American
CCC,2014,Laura Aull,4,White
CCC,2014,Leon Thomas,4,Latinx
CCC,2014,Les Perelman,4,White
CCC,2014,Lil Brannon,4,Latinx
CCC,2014,Linda Adler-Kassner,4,Asian American
CCC,2014,Min-Zhan Lu,4,Asian American
CCC,2014,Moisés Damián Perales Escudero,4,Latinx
CCC,2014,Mya Poe,4,Asian American
CCC,2014,Nancy Burton,4,White
CCC,2014,Perry Deess,4,Asian American
CCC,2014,Polly Parker,4,Latinx
CCC,2014,Sallyanne H. Fitzgerald,4,White
CCC,2014,Samuel R. Sommers,4,White
CCC,2014,Wayne Camara,4,Asian American
CCC,2014,Wayne J. Camara,4,White
CCC,2014,Woranon Sitajalabhorn,4,White
CCC,2014,Zak Lancaster,4,Latinx
CCC,2014,Aaron Smith,3,Asian American
CCC,2014,Alexandra Rankin Macgill,3,Latinx
CCC,2014,Anis Bawarshi,3,White
CCC,2014,Brian M. Morrison,3,Latinx
CCC,2014,David L. DeWeese,3,Latinx
CCC,2014,Doug Downs,3,Asian American
CCC,2014,Douglas E. Green,3,Asian American
CCC,2014,Gregory R. Glau,3,Asian American
CCC,2014,Jennifer Wells,3,Latinx
CCC,2014,Josh Compton,3,White
CCC,2014,Kara Taczak,3,White
CCC,2014,Karen Gocsik,3,Latinx
CCC,2014,Kathy M. Bushrow,3,White
CCC,2014,Lawrence McEnerney,3,Asian American
CCC,2014,Mark Hannah,3,Asian American
CCC,2014,Mike Gorman,3,White
CCC,2014,Robert Evans,3,Latinx
CCC,2014,Sara Biggs Chaney,3,Latinx
CCC,2014,Scott Herndon,3,White
CCC,2014,Sousan Arafeh,3,Asian American
CCC,2014,Tom Sura,3,White
CCC,2014,Alex Antram,2,White
CCC,2014,Alokparna Das,2,White
CCC,2014,Christina Ortmeier-Hooper,2,Asian American
CCC,2014,Eiman Hajabbasi,2,Latinx
CCC,2014,Gretchen Flesher Moon,2,White
CCC,2014,Gwen Gray Schwartz,2,White
CCC,2014,Jacqueline Rhodes,2,White
CCC,2014,Jay Jordan,2,Latinx
CCC,2014,Jean-Claude Passeron,2,White
CCC,2014,Jeffrey T. Grabill,2,White
CCC,2014,Jeffry M. Ringer,2,White
CCC,2014,John C. Bean,2,Asian American
CCC,2014,Jonathan Alexander,2,Asian American
CCC,2014,Karen Lunsford,2,White
CCC,2014,Lynn Worsham,2,Asian American
CCC,2014,Marcia Curtis,2,Latinx
CCC,2014,Mark Aakhus,2,Asian American
CCC,2014,Samantha Blackmon,2,White
CCC,2014,Terry Myers Zawacki,2,Latinx
CCC,2014,Van Ittersum,2,Latinx
CCC,2014,William P. Banks,2,Latinx
CCC,2014,Alfred O. Wlecke,1,Asian American
CCC,2014,Andrea Gallagher,1,White
CCC,2014,Ann Burke,1,Latinx
CCC,2014,Anne Friedburg,1,White
CCC,2014,AparnaSinha,1,Asian American
CCC,2014,Beth BrunkChavez,1,Asian American
CCC,2014,Birgette Yttri,1,White
CCC,2014,Brett M. Griffiths,1,Latinx
CCC,2014,Bridget Fahey Ruetenik,1,White
CCC,2014,Bridget Gelms,1,White
CCC,2014,Catherine G. Latterell,1,White
CCC,2014,Chris Dean,1,Asian American
CCC,2014,Christian R. Weisser,1,Latinx
CCC,2014,Christina Ortmeier Hooper,1,White
CCC,2014,Christine R. Farris,1,Latinx
CCC,2014,"ChristopherB.,HastingsShade,SammyStill,SequoyahGuess,andWoodyHansen Teuton",1,White
CCC,2014,Christy Friend,1,White
CCC,2014,Cindy Moore,1,Latinx
CCC,2014,Cindy O’Donnell-Allen,1,White
CCC,2014,Collin Jennings,1,Latinx
CCC,2014,Craig Baehr,1,Latinx
CCC,2014,Cynthia Cochran,1,Asian American
CCC,2014,Cynthia L. Selfe,1,White
CCC,2014,Cynthia Lewiecki Wilson,1,Asian American
CCC,2014,Daisuke Okabe,1,Latinx
CCC,2014,Daniel Anderson,1,Latinx
CCC,2014,Darrell Fike,1,Latinx
CCC,2014,David Reamer,1,White
CCC,2014,Deborah H. Holdstein,1,White
CCC,2014,Deoscorous B. Ndoloi,1,White
CCC,2014,Drew M. Loewe,1,White
CCC,2014,Eileen Medeiros,1,White
CCC,2014,Elizabeth Chiseri-Strater,1,Asian American
CCC,2014,Elizabeth Wardle,1,Latinx
CCC,2014,Ellen Cushman,1,Asian American
CCC,2014,Florence B. Brawer,1,Latinx
CCC,2014,Gerd Bräuer,1,White
CCC,2014,Gladys Carro,1,Asian American
CCC,2014,Greg Myers,1,White
CCC,2014,Howard Tinberg,1,Latinx
CCC,2014,J. William Asher,1,Latinx
CCC,2014,Jason Thompson,1,Latinx
CCC,2014,Jean C. Williams,1,Asian American
CCC,2014,Jennifer Clary-Lemon,1,Asian American
CCC,2014,Jennifer Rowsell,1,Latinx
CCC,2014,Jessica Early,1,White
CCC,2014,Jessie L. Moore,1,White
CCC,2014,Jill V. Jeffery,1,Latinx
CCC,2014,Joanne Baird Giordano,1,Asian American
CCC,2014,Jody Shipka,1,White
CCC,2014,John Brereton,1,Latinx
CCC,2014,John R. Hayes,1,White
CCC,2014,Joyce R. Walker,1,Asian American
CCC,2014,Judith A. Langer,1,Latinx
CCC,2014,Julia Romberger,1,Asian American
CCC,2014,Kathryn Thirolf,1,Asian American
CCC,2014,Kerry Anne Enright,1,Asian American
CCC,2014,Krista Ratcliffe,1,Latinx
CCC,2014,Lauren Fitzgerald,1,Asian American
CCC,2014,Lawrence Rodgers,1,White
CCC,2014,Lisa Ede,1,Asian American
CCC,2014,Lisa Ganobcsik-Williams,1,Latinx
CCC,2014,Lucille M. Schultz,1,White
CCC,2014,M.Kevin Eagan,1,Latinx
CCC,2014,M.S.Alice Mary Longfellow Papers,1,Asian American
CCC,2014,Maggie McCaffrey,1,Latinx
CCC,2014,Manka M. Varghese,1,White
CCC,2014,Mark Evan Nelson,1,Latinx
CCC,2014,Mary Kalantzis,1,Asian American
CCC,2014,Maura Ives,1,Asian American
CCC,2014,Megan Squire,1,Asian American
CCC,2014,Melvin M. Webber,1,Asian American
CCC,2014,Michael Spooner,1,White
CCC,2014,Michele L. Matchett,1,Latinx
CCC,2014,Miles A. Kimball,1,Asian American
CCC,2014,Misa Matsuda Personal,1,Latinx
CCC,2014,Monique Saint Martin,1,Asian American
CCC,2014,Muriel SayvilleTroike,1,Asian American
CCC,2014,Nancy S. Thompson,1,White
CCC,2014,Nshindi G. Mulamba,1,White
CCC,2014,Patricia A. Sullivan,1,White
CCC,2014,Paul G. Curran,1,White
CCC,2014,Paul Gestwicki,1,Asian American
CCC,2014,Paula Carlino,1,Latinx
CCC,2014,Paula Rosinski,1,Asian American
CCC,2014,Peggy Woods,1,White
CCC,2014,Richard C. Gebhardt,1,Asian American
CCC,2014,Richard E. Young,1,White
CCC,2014,Robert Krut,1,Asian American
CCC,2014,Rochelle L. Rodrigo,1,White
CCC,2014,Roxanne Dunbar Ortiz,1,Latinx
CCC,2014,Ryan P. Weber,1,Latinx
CCC,2014,Samantha NeCamp,1,Latinx
CCC,2014,Sharon James McGee,1,Asian American
CCC,2014,Shawn P. Apostel,1,White
CCC,2014,Sheila Carter-Tod,1,White
CCC,2014,Sheridan Blau,1,White
CCC,2014,Sophia Leong,1,Latinx
CCC,2014,South Hadley,1,White
CCC,2014,Stephen L. Carr,1,Latinx
CCC,2014,Sterling A. Brown,1,Latinx
CCC,2014,Sue Hum,1,Latinx
CCC,2014,Susan McLeod,1,Asian American
CCC,2014,Syracuse U. Diss,1,White
CCC,2014,T.A. Fishman,1,Asian American
CCC,2014,T.C.Niemann Shiang Tien,1,Latinx
CCC,2014,Theresa Enos,1,White
CCC,2014,Thomas Hajduk,1,Latinx
CCC,2014,Thomas Kent,1,White
CCC,2014,Wayne P. Thomas,1,White
CCC,2014,Xiaoye You,1,White
CCC,2014,Yusuf Khoury,1,Asian American
CCC,2014,andMaureen Fitzsimmons,1,Latinx
CCC,2014,bonnie lenore kyburz,1,White
CCC,2014,ed.,1,White
CCC,2015,Elizabeth Wardle,8,Asian American
CCC,2015,Jeffrey T. Grabill,6,Latinx
CCC,2015,Jacqueline Rhodes,5,Asian American
CCC,2015,Jessica Enoch,5,Latinx
CCC,2015,A.Michael Huberman,4,Latinx
CCC,2015,Christine Adam,4,White
CCC,2015,Graham Smart,4,White
CCC,2015,Johnny Saldaña,4,White
CCC,2015,Joseph Valente,4,Asian American
CCC,2015,Lisa S. Mastrangelo,4,Latinx
CCC,2015,Mark D. Halx,4,Latinx
CCC,2015,Melissa Nicolas,4,Latinx
CCC,2015,Michael McLeod,4,Asian American
CCC,2015,Terry Myers Zawacki,4,Latinx
CCC,2015,Terry Shinn,4,Asian American
CCC,2015,Allison Harl,3,Latinx
CCC,2015,Anne Fields,3,Latinx
CCC,2015,Arnold Saunders,3,Latinx
CCC,2015,Barbara L’Eplattenier,3,White
CCC,2015,Gregory R. Glau,3,White
CCC,2015,Jordynn Jack,3,Asian American
CCC,2015,Julia Maserjian,3,White
CCC,2015,L. Lee Forsberg,3,Asian American
CCC,2015,Liz Rohan,3,Asian American
CCC,2015,Michael Kramp,3,Asian American
CCC,2015,Min-Zhan Lu,3,Latinx
CCC,2015,Patricia Donahue,3,White
CCC,2015,Sarah Kendall,3,White
CCC,2015,Tamar Chute,3,Latinx
CCC,2015,Wendy B. Sharer,3,Asian American
CCC,2015,William Hart-Davidson,3,White
CCC,2015,Alexis E.Ramsey Tobienne,2,Latinx
CCC,2015,Anthony J. Michel,2,White
CCC,2015,Anthony Paré,2,Latinx
CCC,2015,Barry M. Maid,2,Latinx
CCC,2015,Butch Lazorchak,2,White
CCC,2015,Christa Olson,2,White
CCC,2015,Christina Ortmeier-Hooper,2,White
CCC,2015,Cynthia L. Selfe,2,Asian American
CCC,2015,David Gold,2,Asian American
